"Country or Area"|"Year"|"Area"|"Sex"|"Age"|"Record Type"|"Reliability"|"Source Year"|"Value"|"Value Footnotes"
"Germany"|"2018"|"Total"|"Both Sexes"|"22"|"Estimate - de jure"|"Final figure, complete"|"2018"|"899827"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"23"|"Estimate - de jure"|"Final figure, complete"|"2018"|"918306"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"24"|"Estimate - de jure"|"Final figure, complete"|"2018"|"952232"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"25"|"Estimate - de jure"|"Final figure, complete"|"2018"|"971610"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"25 - 29"|"Estimate - de jure"|"Final figure, complete"|"2018"|"5298080"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"26"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1009672"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"27"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1105660"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"28"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1092555"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"29"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1118583"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"30"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1094733"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"30 - 34"|"Estimate - de jure"|"Final figure, complete"|"2018"|"5290252"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"31"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1075886"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"32"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1043548"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"33"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1036879"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"34"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1039206"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"35"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1060221"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"35 - 39"|"Estimate - de jure"|"Final figure, complete"|"2018"|"5163210"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"36"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1051212"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"37"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1056495"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"38"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1004728"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"39"|"Estimate - de jure"|"Final figure, complete"|"2018"|"990554"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"40"|"Estimate - de jure"|"Final figure, complete"|"2018"|"981486"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"40 - 44"|"Estimate - de jure"|"Final figure, complete"|"2018"|"4788357"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"41"|"Estimate - de jure"|"Final figure, complete"|"2018"|"962843"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"42"|"Estimate - de jure"|"Final figure, complete"|"2018"|"937518"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"43"|"Estimate - de jure"|"Final figure, complete"|"2018"|"949657"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"44"|"Estimate - de jure"|"Final figure, complete"|"2018"|"956853"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"45"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1035587"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"45 - 49"|"Estimate - de jure"|"Final figure, complete"|"2018"|"5943287"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"46"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1138293"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"47"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1179668"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"48"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1265662"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"49"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1324077"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"50"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1357827"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"50 - 54"|"Estimate - de jure"|"Final figure, complete"|"2018"|"6968045"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"51"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1392300"|"1"
